Name,Location,Founded,Employees,About,Skills,Link
Deutsche Telekom Digital Labs - Data Analyst,Job available in Gurgaon,2018,1000,"Deutsche Telekom is an integrated telecommunications company specializing in Artificial Intelligenz, IT Security, Cloud Computing, Internet of Things, 5G, Smart Home, etc.","['Microsoft Excel', 'Power BI', 'SQL', 'Tableau']",https://www.instahyre.com/job-292046-data-analyst-at-deutsche-telekom-digital-labs-gurgaon/
Eli Lilly - Cloud Analytics,Job available in Bangalore,1876,1000,"Lilly is a global healthcare company that develops and delivers trusted medicines and diagnostics in the areas of bone muscle joint, cancer, cardiovascular, diabetes etc while having its reach across 125 countries.","['AWS CloudFormation', 'Amazon S3', 'AWS Lambda']",https://www.instahyre.com/job-292017-cloud-analytics-at-eli-lilly-bangalore/
EPAM Systems - Python Developer,"Job available in Bangalore, Hyderabad",1993,1000,"US based EPAM Systems is a leading global product development and digital platform engineering services company. With a presence around the world, it has ranked #12 in FORBES 25 Fastest Growing Public Tech Companies.","['Django', 'Flask']",https://www.instahyre.com/job-292047-python-developer-at-epam-systems-bangalore-hyderabad/
Groyyo - Data Analyst,Job available in Gurgaon,2021,30,"Groyyo helps in making the factories bigger, faster, smarter, global, and their operations cost-effective. It aims to uplift MSMEs and factories across a number of countries, enabling top-quality supply.","['SQL', 'Power BI', 'Tableau', 'BigQuery']",https://www.instahyre.com/job-292054-data-analyst-at-groyyo-gurgaon/
Groyyo - Lead Data Analyst,Job available in Gurgaon,2021,30,"Groyyo helps in making the factories bigger, faster, smarter, global, and their operations cost-effective. It aims to uplift MSMEs and factories across a number of countries, enabling top-quality supply.","['SQL', 'Tableau', 'Power BI', 'BigQuery']",https://www.instahyre.com/job-292053-lead-data-analyst-at-groyyo-gurgaon/
iLink Digital - Java - Backend Developer,"Job available in Chennai, Noida, Pune",2002,750,"iLink Digital provides software solutions and develops custom applications, components, and frameworks on the Microsoft platform for a broad range of industries such as healthcare, telecom, education, etc.","['Big Data', 'Java', 'Spring']",https://www.instahyre.com/job-292012-java-backend-developer-at-ilink-digital-chennai-noida-pune/
Intuit - Staff Data & Analytics,Job available in Bangalore,1983,1000,"Intuit is an MNC that develops financial and tax preparation software. It makes the personal finance programs Quicken and TurboTax, and the small business accounting program QuickBooks.","['Adobe Analytics', 'Cluster Analysis', '+9', 'Google Analytics', 'Linear Regression', 'Logistic Regression', 'Looker', 'Microsoft Excel', 'Predictive Analytics', 'SQL', 'Tableau', 'Teradata']",https://www.instahyre.com/job-291954-staff-data-analytics-at-intuit-bangalore/
Navtech - Python With ML Engineer,Job available in Hyderabad,2013,125,"Navratan Technologies is a Hyderabad based IT firm that helps companies with Web Applications & Design, Mobile Applications, Cloud Hosting & Maintenance, and Big Data Analytics. Their major work lies in Cloud.","['Computer Vision', 'Machine Learning', 'NLP', '+3', 'PyTorch', 'Scikit-learn', 'TensorFlow']",https://www.instahyre.com/job-291936-python-with-ml-engineer-at-navtech-hyderabad/
PocketFM - Backend Engineer,Job available in Work From Home,2018,750,"PocketFM is a social vernacular audio app close to 100,000 installs. They are building a radio platform where anyone can share audio to share stories & knowledge. It works like an FM, where anyone can be the host.",[],https://www.instahyre.com/job-291945-backend-engineer-at-pocketfm-work-from-home/
PocketFM - Software Development Engineer - 2,Job available in Work From Home,2018,750,"PocketFM is a social vernacular audio app close to 100,000 installs. They are building a radio platform where anyone can share audio to share stories & knowledge. It works like an FM, where anyone can be the host.",['AWS'],https://www.instahyre.com/job-291952-software-development-engineer-2-at-pocketfm-work-from-home/
Rapyuta Robotics - Software Engineer,Job available in Chennai,2014,125,Rapyuta provides a cloud based robotics framework where robots have the ability to communicate with other robots and learn from each other. The framework allows robots to work collectively over a particular goal.,"['C++', 'Data Structures', 'Algorithms', 'JavaScript']",https://www.instahyre.com/job-292029-software-engineer-at-rapyuta-robotics-chennai/
SambaNova Systems - Senior Site Reliability Engineer,Job available in Bangalore,2017,350,SambaNova Systems is a technology-enabled organization that builds AI hardware and integrated systems to help a range of business segments run AI applications and unlock valuable business insights.,"['Linux', 'Cloud Computing', 'Network Administration']",https://www.instahyre.com/job-292006-senior-site-reliability-engineer-at-sambanova-systems-bangalore/
ShareChat - SDE - 2,Job available in Bangalore,2015,750,"ShareChat is a social networking and regional content platform for India. It enables users to share content in their own language, follow local celebrities, and interact with content related to news, etc.","['Golang', 'Java']",https://www.instahyre.com/job-291992-sde-2-at-sharechat-bangalore/
ShyftLabs - Senior Backend Developer,Job available in Hyderabad,2018,125,"ShyftLabs is a business consulting services provider that caters to varied business verticals by offering services across business intelligence, predictive analytics, cloud warehousing, data governance, and more.","['Java', 'Django', 'Flask']",https://www.instahyre.com/job-291989-senior-backend-developer-at-shyftlabs-hyderabad/
SwitchOn - QA Automation Engineer,Job available in Bangalore,2017,30,SwitchOn is an Industrial tech company that helps manufacturing industries identify plant-level bottlenecks and improve equipment efficiency with the help of AI.,"['Automation Testing', 'Manual Testing', 'SDET', 'Selenium']",https://www.instahyre.com/job-291962-qa-automation-engineer-at-switchon-bangalore/
